year	sa2_name	sa2_code	married_females	indig_females	dwelling_owned_mortgage_percent	percent_language_other	median_age	percent_married_persons	notmarried_persons	percent_notmarried_males	total_language_persons	non_indig_males	non_indig_females	language_other	female	median_mortgage	dwelling_owned_outright	total_relationship_females	dwelling_owned_mortgage	seperate_house_percent	born_overseas	persons_per_bedroom	percent_married_males	median_household_income	percent_defacto_males	average_household_size	total_indig_status_persons	dwelling_rented_percent	married_males	indig_males	notmarried_females	percent_notmarried_persons	language_not_stated	defacto_males	percent_indig_persons	dwelling_other_or_not_stated	percent_female	dwelling_owned_outright_percent	defacto_persons	indig_persons	country_not_stated	percent_male	male	dwelling_rented	housing_other_or_not_stated_percent	seperate_house	persons	total_indig_status_males	percent_married_females	semi_or_townhouse_percent	total_indig_status_females	semi_or_townhouse	total_relationship_persons	born_in_australia	percent_defacto_females	housing_other_or_not_stated	not_stated_indig_persons	married_persons	not_stated_indig_males	non_indig_persons	language_english	total_relationship_males	dwelling_other_or_not_stated_percent	defacto_females	flat_or_unit	flat_or_unit_percent	not_stated_indig_females	percent_born_overseas	total_country_persons	percent_notmarried_females	percent_defacto_persons	median_rent	notmarried_males	isMissing
2006	Braidwood	101021007	716	23	27.5049115913556	3.16930775646372	45	55.7287607170694	821	31.4263322884013	3597	1699	1644	114	1745	1083	720	1289	420	94.2536790469516	442	0.8	55.9561128526646	793	12.7742946708464	2.3	3597	17.1578258022266	714	32	420	31.9953234606391	206	163	1.64025576869614	126	48.5126494300806	47.1512770137525	320	59	245	51.403947734223	1849	262	3.22354590049054	1345	3597	1849	55.5469356089992	0.700770847932726	1745	10	2566	2910	12.1799844840962	46	204	1430	124	3342	3277	1276	8.25147347740668	157	18	1.26138752627891	81	12.2880177926049	3597	32.5833979829325	12.4707716289945	139	401	FALSE
2011	Braidwood	101021007	617	22	29.2560801144492	3.12872467222884	46	53.2015470562957	831	36.2010221465077	3356	1559	1541	105	1668	1517	619	1157	409	95.0920245398773	412	0.8	52.8960817717206	913	10.732538330494	2.3	3356	18.6695278969957	621	21	406	35.7112161581435	215	126	1.19189511323004	104	49.7020262216925	44.277539341917	262	40	233	50.357568533969	1690	261	2.76073619631902	1240	3356	1690	53.3275713050994	2.14723926380368	1668	28	2327	2711	11.7545375972342	36	206	1238	101	3100	3036	1174	7.43919885550787	136	5	0.383435582822086	103	12.2765196662694	3356	35.0907519446845	11.259131929523	200	425	FALSE
2016	Braidwood	101021007	651	32	28.3751493428913	3.4349173553719	49	49.6177370030581	948	36.1408882082695	3872	1691	1673	133	1916	1582	690	1308	475	95.0447350309704	456	0.8	49.5405819295559	1084	14.5482388973966	2.3	3872	16.1887694145759	647	41	476	36.2385321100917	439	190	1.93698347107438	245	49.4834710743802	41.2186379928315	374	75	468	50.4907024793388	1955	271	3.16586373021335	1381	3872	1955	49.7706422018349	1.78940123881624	1916	26	2616	2948	14.0672782874618	46	436	1298	217	3365	3300	1306	14.6356033452808	184	8	0.550584996558844	214	11.7768595041322	3872	36.3914373088685	14.2966360856269	250	472	FALSE
2006	Karabar	101021008	1595	216	34.4555035128806	13.6722552731206	34	47.8195488721805	2813	40.0934579439252	9245	4097	4224	1264	4669	1343	980	3443	1177	80.2461538461539	1423	0.8	49.3769470404985	1145	10.2803738317757	2.7	9245	30.327868852459	1585	228	1526	42.3007518796993	480	330	4.7809626825311	223	50.5029745808545	28.6885245901639	656	442	608	49.5294753921039	4579	1036	0	2608	9245	4579	46.3258785942492	13.0769230769231	4669	425	6650	7214	9.46848678478072	0	483	3180	252	8318	7501	3210	6.52810304449649	326	212	6.52307692307692	226	15.3921038399135	9245	44.3218123729306	9.86466165413534	179	1287	FALSE
2011	Karabar	101021008	1477	218	36.6132017273288	13.7758660776564	35	46.7164891079663	2695	41.2208729898261	8602	3803	3951	1185	4362	1950	876	3239	1187	82.7831715210356	1410	0.8	47.9488021004267	1537	10.8303249097473	2.7	8602	29.0561381863047	1461	233	1439	42.8525997773891	377	330	5.21971634503604	236	50.7091374099047	27.0203578038248	660	449	455	49.2559869797722	4237	942	0.453074433656958	2558	8602	4237	45.6004939796233	12.7184466019417	4362	393	6289	6737	10.1883297313986	14	404	2938	206	7751	7040	3047	7.27945712523134	330	120	3.88349514563107	199	16.3915368518949	8602	44.4272923741896	10.4945142311973	277	1256	FALSE
2016	Karabar	101021008	1338	262	36.2113402061856	13.6170728749848	37	44.0933156849768	2659	43.070652173913	8247	3619	3669	1123	4172	1928	868	3094	1124	80.4252446844414	1332	0.8	45.0747282608696	1689	11.8546195652174	2.6	8247	28.930412371134	1327	242	1391	43.9940436796823	475	349	6.13556444767794	220	50.5880926397478	27.9639175257732	713	506	561	49.387656117376	4073	898	0.337495781302734	2383	8247	4073	43.2449903038138	16.908538643267	4172	501	6044	6354	11.7647058823529	10	453	2665	208	7288	6649	2944	7.08762886597938	364	64	2.1599730003375	240	16.1513277555475	8247	44.9579831932773	11.7968232958306	300	1268	FALSE
2006	Queanbeyan	101021009	1263	101	26.3207770670457	15.7883203681385	38	37.9611504291522	3358	51.0472770795931	9127	4195	4110	1441	4502	1233	1130	3301	1111	53.6434108527132	1869	0.8	37.6421304608019	921	11.2507480550569	2.1	9127	36.0341151385927	1258	98	1652	50.5646739948803	744	376	2.18034403418429	470	49.3261750849129	26.7709073679223	762	199	889	50.6957379204558	4627	1521	0.516795865633075	2076	9127	4627	38.261132990003	12.8165374677003	4502	496	6641	6369	11.6934262344744	20	620	2521	336	8310	6942	3342	11.1348021795783	386	1281	33.1007751937985	292	20.4777035170374	9127	50.0454407755226	11.4741755759675	170	1706	FALSE
2011	Queanbeyan	101021009	1433	144	29.9957301451751	18.6064692660999	37	37.6388154415653	3735	50.2098635886674	10233	4708	4649	1904	5025	1755	1124	3747	1405	48.8995873452545	2393	0.8	37.093389296957	1270	12.591815320042	2.1	10233	37.3825789923143	1414	115	1821	49.3786356425172	633	480	2.54079937457246	406	49.1058340662562	23.9965841161401	972	260	734	50.9137105443174	5210	1751	1.19211370930766	2133	10233	5210	38.2439284761142	16.7354424575883	5025	730	7564	7106	13.1305044035228	52	608	2847	379	9360	7696	3812	8.66780529461998	492	1447	33.1728564878496	230	23.3851265513535	10233	48.5988791032826	12.8503437334744	275	1914	FALSE
2016	Queanbeyan	101021009	1521	174	26.7024022235458	21.2137981922155	36	38.7520734975118	3880	49.4208494208494	10842	4859	4839	2300	5403	1733	1020	3947	1345	42.9560701146938	2680	0.9	39.021879021879	1398	11.5057915057915	2.1	10842	42.1282509430216	1516	146	1960	49.5087405895113	823	447	2.95148496587346	553	49.8339789706696	20.2501488981537	911	320	889	50.0830105146652	5430	2122	0.519368102142393	1985	10842	5430	38.5355966556879	22.7007141311404	5403	1049	7837	7273	11.7557638712947	24	821	3037	432	9700	7719	3885	10.9787571967441	464	1565	33.8671283272019	395	24.7186865891902	10842	49.6579680770205	11.6243460507847	280	1920	FALSE
2006	Queanbeyan - East	101021010	567	60	28.125	12.7186406796602	35	38.527397260274	1438	49.8646820027064	4002	1822	1728	509	1935	1300	414	1443	540	41.3256484149856	746	0.8	37.7537212449256	1045	12.1786197564276	2.1	4002	39.7916666666667	558	41	701	49.2465753424658	342	180	2.52373813093453	208	48.3508245877062	21.5625	352	101	380	51.7491254372814	2071	764	0.172910662824208	717	4002	2071	39.2931392931393	25.1296829971182	1935	436	2920	2876	11.9196119196119	3	349	1125	203	3551	3151	1478	10.8333333333333	172	578	33.314121037464	148	18.6406796601699	4002	48.5793485793486	12.0547945205479	173	737	FALSE
